
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 19 2014,Box Score,Atlanta Hawks,101,Indiana Pacers,93,,
Sat Apr 19 2014,Box Score,Golden State Warriors,109,Los Angeles Clippers,105,,
Sat Apr 19 2014,Box Score,Memphis Grizzlies,86,Oklahoma City Thunder,100,,
Sat Apr 19 2014,Box Score,Brooklyn Nets,94,Toronto Raptors,87,,
Sun Apr 20 2014,Box Score,Washington Wizards,102,Chicago Bulls,93,,
Sun Apr 20 2014,Box Score,Portland Trail Blazers,122,Houston Rockets,120,OT,
Sun Apr 20 2014,Box Score,Charlotte Bobcats,88,Miami Heat,99,,
Sun Apr 20 2014,Box Score,Dallas Mavericks,85,San Antonio Spurs,90,,
Mon Apr 21 2014,Box Score,Golden State Warriors,98,Los Angeles Clippers,138,,
Mon Apr 21 2014,Box Score,Memphis Grizzlies,111,Oklahoma City Thunder,105,OT,
Tue Apr 22 2014,Box Score,Washington Wizards,101,Chicago Bulls,99,OT,
Tue Apr 22 2014,Box Score,Atlanta Hawks,85,Indiana Pacers,101,,
Tue Apr 22 2014,Box Score,Brooklyn Nets,95,Toronto Raptors,100,,
Wed Apr 23 2014,Box Score,Portland Trail Blazers,112,Houston Rockets,105,,
Wed Apr 23 2014,Box Score,Charlotte Bobcats,97,Miami Heat,101,,
Wed Apr 23 2014,Box Score,Dallas Mavericks,113,San Antonio Spurs,92,,
Thu Apr 24 2014,Box Score,Indiana Pacers,85,Atlanta Hawks,98,,
Thu Apr 24 2014,Box Score,Los Angeles Clippers,98,Golden State Warriors,96,,
Thu Apr 24 2014,Box Score,Oklahoma City Thunder,95,Memphis Grizzlies,98,OT,
Fri Apr 25 2014,Box Score,Toronto Raptors,98,Brooklyn Nets,102,,
Fri Apr 25 2014,Box Score,Houston Rockets,121,Portland Trail Blazers,116,OT,
Fri Apr 25 2014,Box Score,Chicago Bulls,100,Washington Wizards,97,,
Sat Apr 26 2014,Box Score,Indiana Pacers,91,Atlanta Hawks,88,,
Sat Apr 26 2014,Box Score,Miami Heat,98,Charlotte Bobcats,85,,
Sat Apr 26 2014,Box Score,San Antonio Spurs,108,Dallas Mavericks,109,,
Sat Apr 26 2014,Box Score,Oklahoma City Thunder,92,Memphis Grizzlies,89,OT,
Sun Apr 27 2014,Box Score,Toronto Raptors,87,Brooklyn Nets,79,,
Sun Apr 27 2014,Box Score,Los Angeles Clippers,97,Golden State Warriors,118,,
Sun Apr 27 2014,Box Score,Houston Rockets,120,Portland Trail Blazers,123,OT,
Sun Apr 27 2014,Box Score,Chicago Bulls,89,Washington Wizards,98,,
Mon Apr 28 2014,Box Score,Miami Heat,109,Charlotte Bobcats,98,,
Mon Apr 28 2014,Box Score,San Antonio Spurs,93,Dallas Mavericks,89,,
Mon Apr 28 2014,Box Score,Atlanta Hawks,107,Indiana Pacers,97,,
Tue Apr 29 2014,Box Score,Washington Wizards,75,Chicago Bulls,69,,
Tue Apr 29 2014,Box Score,Golden State Warriors,103,Los Angeles Clippers,113,,
